sub_brand_name,official_price_prefix,business_status,series_name,official_price,series_id,image_url,dealer_price,none_dealer_quote,motor_id,price,pre_sale_date,pre_sale_price,subsidy_price,series_right_tag,dcd_score,unique_id,brand_id,brand_name,car_type,series_status_tag
沃尔沃亚太,指导价：,0,沃尔沃S60,28.69-38.49万,1279,https://p1-dcd.byteimg.com/img/motor-img/32788e221ee9ce7bdc710115d84ba355~noop.png,22.69-32.49万,False,240012790000000,28.69-38.49万,,,,,396,1628414395164467044,24,沃尔沃,轿车,
沃尔沃亚太,指导价：,0,沃尔沃S60 RECHARGE,39.99-46.19万,1280,https://p1-dcd.byteimg.com/img/motor-img/0e1a0647fc7451ffefef866f0bf05386~noop.png,33.99-40.19万,False,240012800000000,39.99-46.19万,,,,,0,1628414395164467947,24,沃尔沃,轿车,
沃尔沃(进口),指导价：,0,沃尔沃V60,30.43-39.58万,1270,https://p1-dcd.byteimg.com/img/motor-img/b2b6d18c553431318591359e0e457fd5~noop.png,30.43-39.58万,False,240012700000000,30.43-39.58万,,,,,393,1628414395164468665,24,沃尔沃,轿车,
沃尔沃亚太,指导价：,0,沃尔沃S90,40.69-50.59万,1281,https://p1-dcd.byteimg.com/img/motor-img/3878a4c3d95de8876266901f71951479~noop.png,32.69-42.59万,False,240012810000000,40.69-50.59万,,,,,408,1628414395164469482,24,沃尔沃,轿车,
沃尔沃亚太,指导价：,0,沃尔沃S90 RECHARGE,49.99-61.39万,2937,https://p1-dcd.byteimg.com/img/motor-img/30c75f1e8d46ba045e0078395194ddb8~noop.png,41.99-53.39万,False,240029370000000,49.99-61.39万,,,,,0,1628414395164470306,24,沃尔沃,轿车,
沃尔沃(进口),指导价：,0,沃尔沃V90,44.79-55.69万,1273,https://p1-dcd.byteimg.com/img/motor-img/2b2cd3a442f48757c198b3654087d12a~noop.png,40.90-50.90万,False,240012730000000,44.79-55.69万,,,,,407,1628414395164470838,24,沃尔沃,轿车,
沃尔沃亚太,指导价：,0,沃尔沃XC40,26.48-38.58万,3355,https://p3-dcd.byteimg.com/img/motor-img/d1d9b096da55d5165d1c1be1e90c9d4c~noop.png,20.98-33.08万,False,240033550000000,26.48-38.58万,,,,,383,1628414395164472288,24,沃尔沃,SUV,
沃尔沃亚太,指导价：,0,沃尔沃XC40 RECHARGE,29.90-31.50万,4738,https://p1-dcd.byteimg.com/img/motor-img/31d2b6da640b935204b7bfc42e4206a2~noop.png,29.90-31.50万,False,240047380000000,29.90-31.50万,,,,,383,1628414395164473171,24,沃尔沃,SUV,"{'type': 1, 'text': '新增车型'}"
沃尔沃亚太,指导价：,0,沃尔沃XC60,37.39-47.49万,1282,https://p1-dcd.byteimg.com/img/motor-img/5b9793002c3624fcff5acd2041925a55~noop.png,31.39-40.40万,False,240012820000000,37.39-47.49万,,,,,395,1628414395164473661,24,沃尔沃,SUV,
沃尔沃亚太,指导价：,0,沃尔沃XC60 RECHARGE,52.79-60.39万,1792,https://p9-dcd.byteimg.com/img/motor-img/fc3ab417cc4308639925ee54f86c7419~noop.png,44.99-52.59万,False,240017920000000,52.79-60.39万,,,,,0,1628414395164474310,24,沃尔沃,SUV,
沃尔沃(进口),指导价：,0,沃尔沃XC90,63.89-78.19万,1277,https://p1-dcd.byteimg.com/img/motor-img/3a0d4fad7157ac0a8dc54e61f9ad0e28~noop.png,53.89-68.19万,False,240012770000000,63.89-78.19万,,,,,407,1628414395164474798,24,沃尔沃,SUV,
沃尔沃(进口),指导价：,0,沃尔沃XC90 RECHARGE,89.49万,1276,https://p1-dcd.byteimg.com/img/motor-img/0ec860b691cb231fa1bd218c56da1b0f~noop.png,79.49万,False,240012760000000,89.49万,,,,,0,1628414395164475778,24,沃尔沃,SUV,
沃尔沃(进口),指导价：,3,Concept 40.2,暂无报价,2020,https://p9-dcd.byteimg.com/img/mosaic-legacy/bef30000760390af2ad7~noop.png,,True,240020200000000,暂无报价,,,,,0,1628414395164477738,24,沃尔沃,轿车·未上市,
沃尔沃(进口),指导价：,3,沃尔沃V50,暂无报价,2791,https://p1-dcd.byteimg.com/img/mosaic-legacy/bef600002ede84811d19~noop.png,,True,240027910000000,暂无报价,,,,,0,1628414395164478708,24,沃尔沃,轿车·未上市,
沃尔沃(进口),指导价：,3,沃尔沃V60 RECHARGE,暂无报价,4624,https://p1-dcd.byteimg.com/img/motor-img/387612788a4f9d518a903db61d052999~noop.png,,True,240046240000000,暂无报价,,,,,0,1628414395164479764,24,沃尔沃,轿车·未上市,
沃尔沃(进口),指导价：,3,沃尔沃S60(进口),暂无报价,1269,https://p9-dcd.byteimg.com/img/mosaic-legacy/9b13000043f2178031ef~noop.png,,True,240012690000000,暂无报价,,,,,0,1628414395164480511,24,沃尔沃,轿车·未上市,
沃尔沃(进口),指导价：,3,沃尔沃S60 RECHARGE(海外),暂无报价,3691,https://p1-dcd.byteimg.com/img/mosaic-legacy/bef30000e3f3aac0eb3b~noop.png,,True,240036910000000,暂无报价,,,,,0,1628414395164481111,24,沃尔沃,轿车·未上市,
