sub_brand_name,official_price_prefix,business_status,series_name,official_price,series_id,image_url,dealer_price,none_dealer_quote,motor_id,price,pre_sale_date,pre_sale_price,subsidy_price,series_right_tag,dcd_score,unique_id,brand_id,brand_name,car_type
北京汽车,指导价：,3,北汽威旺BQ5,暂无报价,4069,https://p1-dcd.byteimg.com/img/motor-img/f2a2ca42fdefdf358ed7803b671f8357~noop.png,,True,690040690000000,暂无报价,,,,,0,1628413692532134879,69,北汽威旺,SUV·未上市
北汽新能源,指导价：,3,北汽威旺307 EV,暂无报价,2094,https://p3-dcd.byteimg.com/img/mosaic-legacy/bef3000141334165f854~noop.png,,True,690020940000000,暂无报价,,,,,0,1628413692532136883,69,北汽威旺,微面·未上市
北汽新能源,指导价：,3,北汽威旺608 EV,暂无报价,2095,https://p3-dcd.byteimg.com/img/mosaic-legacy/bef40000e3166fe625a2~noop.png,,True,690020950000000,暂无报价,,,,,0,1628413692532138746,69,北汽威旺,轻客·未上市
北京汽车,指导价：,1,北汽威旺S50,7.98-12.08万,186,https://p3-dcd.byteimg.com/img/motor-img/93e751b578149e04c08e9bb220e3301e~noop.png,,True,690001860000000,7.98-12.08万,,,,,0,1628413692532140550,69,北汽威旺,SUV·停售
北京汽车,指导价：,1,北汽威旺M50F,5.58-8.68万,187,https://p1-dcd.byteimg.com/img/mosaic-legacy/bef000009b35c940d8ca~noop.png,,True,690001870000000,5.58-8.68万,,,,,0,1628413692532142564,69,北汽威旺,MPV·停售
北京汽车,指导价：,1,北汽威旺205,2.98-4.08万,1873,https://p9-dcd.byteimg.com/img/mosaic-legacy/beef0000a8fb73593308~noop.png,,True,690018730000000,2.98-4.08万,,,,,0,1628413692532144667,69,北汽威旺,微面·停售
北京汽车,指导价：,1,北汽威旺M20,3.68-6.38万,190,https://p3-dcd.byteimg.com/img/mosaic-legacy/bef200009c5f27f3dbab~noop.png,,True,690001900000000,3.68-6.38万,,,,,0,1628413692532145509,69,北汽威旺,微面·停售
北京汽车,指导价：,1,北汽威旺M30,4.43-5.58万,192,https://p3-dcd.byteimg.com/img/mosaic-legacy/bef400001d73ad2fa2c2~noop.png,,True,690001920000000,4.43-5.58万,,,,,0,1628413692532146751,69,北汽威旺,微面·停售
北京汽车,指导价：,1,北汽威旺M35,5.33-6.08万,193,https://p1-dcd.byteimg.com/img/mosaic-legacy/bef600003f7b0000853a~noop.png,,True,690001930000000,5.33-6.08万,,,,,0,1628413692532150448,69,北汽威旺,微面·停售
北京汽车,指导价：,1,北汽威旺306,3.18-4.68万,189,https://p1-dcd.byteimg.com/img/mosaic-legacy/bef200009c5e15132e5b~noop.png,,True,690001890000000,3.18-4.68万,,,,,0,1628413692532151691,69,北汽威旺,微面·停售
北京汽车,指导价：,1,北汽威旺306 EV,19.00万,1822,https://p1-dcd.byteimg.com/img/mosaic-legacy/bef200006da9ae8ae823~noop.png,,True,690018220000000,19.00万,,,,,0,1628413692532152412,69,北汽威旺,微面·停售
北京汽车,指导价：,1,北汽威旺307,4.38-5.18万,191,https://p1-dcd.byteimg.com/img/mosaic-legacy/bef3000098800ad04af8~noop.png,,True,690001910000000,4.38-5.18万,,,,,0,1628413692532153534,69,北汽威旺,微面·停售
北京汽车,指导价：,1,北汽威旺T205-D,2.98-3.40万,188,https://p1-dcd.byteimg.com/img/mosaic-legacy/65de00010ba60ee6c1cb~noop.png,,True,690001880000000,2.98-3.40万,,,,,0,1628413692532154907,69,北汽威旺,微卡·停售
