sub_brand_name,official_price_prefix,business_status,series_name,official_price,series_id,image_url,dealer_price,none_dealer_quote,motor_id,price,pre_sale_date,pre_sale_price,subsidy_price,series_right_tag,dcd_score,unique_id,brand_id,brand_name,car_type,series_status_tag
中国重汽VGV,指导价：,0,VGV U70,6.99-11.89万,4209,https://p3-dcd.byteimg.com/img/motor-img/00fee9b221dd3df12e3754601960c96f~noop.png,6.99-11.89万,False,1620042090000000,6.99-11.89万,,,,,346,1628414491311990374,162,中国重汽VGV,SUV,
中国重汽VGV,指导价：,0,VGV U75PLUS,13.79-14.59万,5188,https://p1-dcd.byteimg.com/img/motor-img/dd7dd734221159aedbfaceb7050f0685~noop.png,13.79-14.59万,False,1620051880000000,13.79-14.59万,,,,,0,1628414491311991004,162,中国重汽VGV,SUV,"{'type': 1, 'text': '新增车型'}"
中国重汽VGV,指导价：,3,TX7,暂无报价,4495,https://p9-dcd.byteimg.com/img/motor-img/d3c3f3da188f631dbf909b1d8ecfe46c~noop.png,,True,1620044950000000,暂无报价,,,,,0,1628414491311996060,162,中国重汽VGV,SUV·未上市,
