sub_brand_name,official_price_prefix,business_status,series_name,official_price,series_id,image_url,dealer_price,none_dealer_quote,motor_id,price,pre_sale_date,pre_sale_price,subsidy_price,series_right_tag,dcd_score,unique_id,brand_id,brand_name,car_type
乔治·巴顿,指导价：,0,战剑,168.00万,2906,https://p1-dcd.byteimg.com/img/mosaic-legacy/bef200007fc1a3d5bbd7~noop.png,168.00万,False,2360029060000000,168.00万,,,,,0,1628414226305358677,236,乔治·巴顿,SUV
乔治·巴顿,指导价：,3,战斧,暂无报价,3358,https://p1-dcd.byteimg.com/img/mosaic-legacy/bef20000c8d4d87bdf8c~noop.png,,True,2360033580000000,暂无报价,,,,,0,1628414226305360680,236,乔治·巴顿,SUV·未上市
乔治·巴顿,指导价：,1,战车,368.00-378.00万,2905,https://p3-dcd.byteimg.com/img/mosaic-legacy/47480000acfdc116dc81~noop.png,,True,2360029050000000,368.00-378.00万,,,,,0,1628414226305362784,236,乔治·巴顿,SUV·停售
