sub_brand_name,official_price_prefix,business_status,series_name,official_price,series_id,image_url,dealer_price,none_dealer_quote,motor_id,price,pre_sale_date,pre_sale_price,subsidy_price,series_status_tag,series_right_tag,dcd_score,unique_id,brand_id,brand_name,car_type
智己汽车,指导价：,2,智己L7,暂无报价,4870,https://p1-dcd.byteimg.com/img/motor-img/96ab0d0d876d70291a4ee6e797556ccb~noop.png,暂无报价,True,4190048700000000,暂无报价,暂无上市时间,40.88万,,"{'type': 4, 'text': '即将上市'}",,0,1628414495898388752,419,智己汽车,轿车
智己汽车,指导价：,3,Airo,暂无报价,5105,https://p1-dcd.byteimg.com/img/motor-img/14c653e34b5e90ad4d91b25cabba1500~noop.png,,True,4190051050000000,暂无报价,,,,,,0,1628414495898390671,419,智己汽车,轿车·概念车
智己汽车,指导价：,3,智己LS7,暂无报价,4869,https://p1-dcd.byteimg.com/img/motor-img/117024387371af50e4c69ceef7e762f4~noop.png,,True,4190048690000000,暂无报价,,,,,,0,1628414495898392417,419,智己汽车,SUV·概念车
