sub_brand_name,official_price_prefix,business_status,series_name,official_price,series_id,image_url,dealer_price,none_dealer_quote,motor_id,price,pre_sale_date,pre_sale_price,subsidy_price,series_right_tag,dcd_score,unique_id,brand_id,brand_name,car_type
一汽-大众捷达,指导价：,0,捷达VA3,6.58-9.28万,3172,https://p1-dcd.byteimg.com/img/motor-img/f79702d9c2dbaebafe617f329a66b999~noop.png,6.08-8.78万,False,2600031720000000,6.58-9.28万,,,,,327,1628413972348416749,260,捷达,轿车
一汽-大众捷达,指导价：,0,捷达VS5,8.48-11.28万,3171,https://p1-dcd.byteimg.com/img/motor-img/739c42bea157d65740c8a6bdd6000841~noop.png,8.48-11.28万,False,2600031710000000,8.48-11.28万,,,,,362,1628413972348420596,260,捷达,SUV
一汽-大众捷达,指导价：,0,捷达VS7,10.68-13.68万,3276,https://p1-dcd.byteimg.com/img/motor-img/9f8037a9d162416c8079c9faa50f3cd7~noop.png,10.68-13.68万,False,2600032760000000,10.68-13.68万,,,,,366,1628413972348421308,260,捷达,SUV
